"","year","births"
"1",2013,79330
"2",2014,81722
"3",2015,84381
"4",2016,87675
"5",2017,87633
"6",2018,85535
"7",2019,84952
"8",2020,83603
"9",2021,86078
"10",2022,82627
"11",2023,77605
