"","Year","Total"
"1",2013,1649202
"2",2014,1643983
"3",2015,1644117
"4",2016,1650044
"5",2017,1646295
"6",2018,1642454
"7",2019,1639287
"8",2020,1636560
"9",2021,1635167
"10",2022,1656207
"11",2023,1661675
