Age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
15 to 19 years,231041,225991,222506,219437,214989,212933,211838,211352,211689,215319,216097
20 to 24 years,265485,267614,268236,268583,265580,259892,253800,248462,242531,240700,240225
25 to 29 years,276074,279457,283950,290546,293750,294593,293903,291489,288225,287650,286805
30 to 34 years,280401,287165,292711,295367,295144,295965,297634,299633,301987,307767,309272
35 to 39 years,274297,272124,272732,279284,287212,294418,299918,303866,304130,307360,308059
40 to 44 years,321904,311632,303982,296827,289620,284653,282194,281758,286605,297411,301217
