"","year","births"
"1",2013,682069
"2",2014,714927
"3",2015,737575
"4",2016,792141
"5",2017,784901
"6",2018,787523
"7",2019,778090
"8",2020,773144
"9",2021,795492
"10",2022,738819
"11",2023,692989
