Age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
15 to 19 years,308057,306980,307707,308061,307115,306717,308045,309909,313498,321070
20 to 24 years,346850,345121,341318,336706,332583,329682,328951,329349,330082,332510
25 to 29 years,351576,355316,360309,365449,369126,370859,369838,366366,362534,361617
30 to 34 years,364815,364927,363795,362480,362816,365479,369963,375148,380553,386904
35 to 39 years,356190,357934,363044,368786,372269,373791,374295,373544,372819,376013
40 to 44 years,384013,379514,373297,366711,362394,361686,364207,369632,375744,381486
