"","year","births"
"1",2013,124862
"2",2014,124415
"3",2015,121713
"4",2016,121161
"5",2017,119102
"6",2018,117800
"7",2019,117103
"8",2020,113739
"9",2021,117914
"10",2022,113593
"11",2023,110198
