"year","age","value"
2014,"44 years",77438
2015,"44 years",78204
2016,"44 years",77940
2017,"44 years",76438
2018,"44 years",73704
2019,"44 years",72531
2020,"44 years",70996
2021,"44 years",72466
2022,"44 years",73983
2023,"44 years",75888
