"","Year","Total"
"1",2013,2111501
"2",2014,2109792
"3",2015,2109470
"4",2016,2108193
"5",2017,2106303
"6",2018,2108214
"7",2019,2115299
"8",2020,2123948
"9",2021,2135230
"10",2022,2159600
"11",2023,2182676
