"Population 1. January by sex, age and time"

" "," ","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Women"
" ","15-19 years",174407,173716,171815,170996,170361,168701,168141,167639,166863,167881,170222
" ","20-24 years",176575,180679,184806,189151,191188,191633,190343,186937,184035,183918,184411
" ","25-29 years",159475,164508,170197,177111,183135,189431,193458,196402,197432,198620,200743
" ","30-34 years",163374,160128,158343,159231,162239,165430,170428,175511,180271,185255,193883
" ","35-39 years",185843,182734,178824,174101,170741,168153,164829,162485,162234,164736,170315
" ","40-44 years",192693,192679,194114,196251,193540,188736,185852,181674,176448,172805,172270

