"","Year","Total"
"1",2013,1052367
"2",2014,1054444
"3",2015,1058099
"4",2016,1066841
"5",2017,1071204
"6",2018,1072084
"7",2019,1073051
"8",2020,1070648
"9",2021,1067283
"10",2022,1073215
"11",2023,1091844
