"","year","births"
"1",2013,55741
"2",2014,56761
"3",2015,58081
"4",2016,61496
"5",2017,61245
"6",2018,61319
"7",2019,60997
"8",2020,60767
"9",2021,63269
"10",2022,58210
"11",2023,57236
