"Statistics","Year","Region of Residence","Age Group of Mother","UNIT","VALUE"
"Births Registered Provisional","2023","Dublin","25 - 29 years","Number","2494"
"Births Registered Provisional","2023","Dublin","30 - 34 years","Number","5211"
"Births Registered Provisional","2023","Dublin","35 - 39 years","Number","4851"
"Births Registered Provisional","2023","Dublin","40 years and over","Number","1599"
"Births Registered Provisional","2023","Mid-East","Under 20 years","Number","95"
"Births Registered Provisional","2023","Mid-East","20 - 24 years","Number","620"
"Births Registered Provisional","2023","Mid-East","25 - 29 years","Number","1470"
"Births Registered Provisional","2023","Mid-East","30 - 34 years","Number","3163"
"Births Registered Provisional","2023","Mid-East","35 - 39 years","Number","2722"
"Births Registered Provisional","2023","Mid-East","40 years and over","Number","752"
"Births Registered Provisional","2023","Midland","Under 20 years","Number","51"
"Births Registered Provisional","2023","Midland","20 - 24 years","Number","337"
"Births Registered Provisional","2023","Midland","25 - 29 years","Number","665"
"Births Registered Provisional","2023","Midland","30 - 34 years","Number","1140"
"Births Registered Provisional","2023","Midland","35 - 39 years","Number","970"
"Births Registered Provisional","2023","Midland","40 years and over","Number","252"
"Births Registered Provisional","2023","Outside the State","Under 20 years","Number","3"
"Births Registered Provisional","2023","Outside the State","20 - 24 years","Number","13"
"Births Registered Provisional","2023","Outside the State","25 - 29 years","Number","3"
"Births Registered Provisional","2023","Outside the State","30 - 34 years","Number","16"
"Births Registered Provisional","2023","Outside the State","35 - 39 years","Number","20"
"Births Registered Provisional","2023","Outside the State","40 years and over","Number","1"
