"","Year","Total"
"1",2013,2011228
"2",2014,1984627
"3",2015,1958323
"4",2016,1934335
"5",2017,1907581
"6",2018,1887126
"7",2019,1867906
"8",2020,1836340
"9",2021,1795383
"10",2022,1764049
"11",2023,1716990
