22.1.1.3.Populationbysexandage,1January;;;;;;;;;;;;;;;;
Age;1980;1990;2001;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Males;;;;;;;;;;;;;;;;
53;65285;53210;65136;63647;60732;60541;57926;54658;56434;57259;58378;60847;66671;69667;71436;70687
54;67252;55192;56585;65218;62968;59939;59896;57315;54056;55869;56766;57958;60275;65937;69849;70937
55;61510;55759;54833;72672;64397;62081;59098;59257;56664;53486;55329;56250;57341;59564;66321;69266
56;64796;56432;61536;77493;71591;63483;61250;58309;58418;55950;52860;54723;55532;56569;59813;65655
57;62313;55626;56051;79871;76285;70416;62453;60334;57437;57603;55202;52197;53990;54761;56451;59136
58;61976;54652;56115;71662;78444;75057;69234;61442;59294;56545;56792;54517;51394;53046;54491;55850
59;58033;57451;51524;62973;70347;77039;73747;67966;60361;58195;55616;55868;53614;50387;52934;53711
60;51378;54638;52293;62223;61765;68994;75537;72319;66644;59151;57143;54717;54765;52498;49845;52155
61;27790;53279;47157;62925;60918;60501;67632;73919;70806;65215;57915;56082;53628;53513;52213;48951
62;27530;50565;45383;59051;61581;59597;59225;66204;72313;69219;63747;56683;54785;52145;52684;51156
63;27930;50471;42934;56681;57583;60019;58228;57923;64640;70556;67518;62325;55362;53191;51388;51464
64;35853;50903;41111;53251;55197;56152;58465;56765;56375;62860;68643;65826;60566;53686;52257;50192
65;50173;45947;42026;45843;51909;53695;54674;56830;55140;54682;60993;66705;63899;58542;52599;50999
66;49264;47323;41699;43165;44600;50416;52125;53117;55116;53503;53028;59253;64537;61538;57261;51100
67;49070;44738;41135;47967;41778;43276;48983;50509;51443;53306;51805;51421;57264;61966;59951;55455
68;45556;43615;40037;42967;46350;40490;41954;47493;48912;49626;51438;50055;49521;54913;60642;57867
69;44024;39560;38172;42066;41496;44758;39086;40568;45800;47107;47745;49631;48085;47337;53657;58505
70;41433;34064;39191;37884;40509;39955;43154;37662;39049;44004;45300;45950;47650;45770;45385;51616
71;38339;17850;35579;36375;36345;38932;38307;41403;36084;37433;42218;43491;43963;45267;43905;43462
72;34314;17369;33558;32224;34836;34806;37296;36651;39669;34404;35762;40499;41375;41620;42842;41954
73;31292;16858;30668;30052;30618;33178;33196;35625;34900;37798;32720;34220;38435;39090;39515;40854
74;27407;20372;29140;27442;28485;29161;31414;31530;33819;33162;35850;31214;32446;36128;36761;37542
75;25176;27584;27984;25081;25888;26949;27614;29749;29860;31922;31327;33974;29396;30414;33939;34828
76;23721;25909;24446;24506;23524;24302;25474;25939;28082;28052;30031;29545;31777;27366;28301;32031
77;21613;24273;24162;23306;22914;21994;22760;23821;24325;26228;26268;28244;27573;29418;25277;26610
78;18996;20849;21840;21975;21643;21235;20472;21110;22209;22535;24405;24531;26206;25409;27288;23584
79;16969;18460;20067;20122;20286;19948;19645;18914;19492;20520;20776;22675;22588;23888;23479;25404
80;14362;16428;17097;18213;18370;18629;18235;17903;17322;17868;18810;19152;20680;20470;21674;21688
