"","year","births"
"1",2013,89325
"2",2014,92440
"3",2015,92449
"4",2016,93820
"5",2017,92005
"6",2018,90069
"7",2019,89429
"8",2020,92664
"9",2021,93211
"10",2022,88442
"11",2023,85209
