22.2.2.1. Live births by county and region, quarterly, cumulated data;;;;;;;;;;;;;;;;;;;;;
Name of territorial units;Level of territorial units;2020 I. quarter;2020 I–II. quarter;2020 I–III. quarter;2020 I–IV. quarter;2021 I. quarter;2021 I–II. quarter;2021 I–III. quarter;2021 I–IV. quarter;2022 I. quarter;2022 I–II. quarter;2022 I–III. quarter;2022 I–IV. quarter;2023 I. quarter;2023 I–II. quarter;2023 I–III. quarter;2023 I–IV. quarter;2024 I. quarter;2024 I–II. quarter;2024 I–III. quarter;2024 I–IV. quarter
Number of live births, persons;;;;;;;;;;;;;;;;;;;;;
Gyõr-Moson-Sopron;county;115,9;113,4;109,9;108,1;100,0;100,3;103,0;103,3;89,3;95,4;97,0;97,2;106,5;100,7;96,4;95,4;86,6;;;
Vas;county;102,5;104,2;107,5;106,5;101,8;101,1;97,8;97,9;94,7;96,0;98,4;97,6;100,0;96,7;92,0;91,6;90,8;;;
Zala;county;107,3;106,7;102,8;101,1;113,2;107,8;106,1;108,5;80,0;87,6;87,0;89,2;113,6;105,3;103,1;98,6;78,3;;;
Western Transdanubia;region;110,4;109,6;107,6;106,0;103,4;102,1;102,4;103,1;88,2;93,7;95,0;95,5;106,5;100,7;96,7;95,1;85,6;;;
Baranya;county;112,1;108,4;107,7;105,3;94,6;94,9;95,1;98,7;91,6;94,9;97,1;93,9;105,0;101,8;99,7;98,2;89,1;;;
Somogy;county;106,9;104,6;106,2;104,9;106,8;103,9;99,5;98,6;83,5;94,5;96,5;94,8;107,8;93,9;89,8;91,1;90,2;;;
Tolna;county;113,0;107,6;109,4;109,5;98,7;100,1;95,0;98,5;76,8;84,7;89,1;89,1;118,3;108,9;101,5;96,8;97,3;;;
Southern Transdanubia;region;110,6;106,9;107,6;106,2;99,6;99,2;96,5;98,6;85,1;92,1;94,8;93,0;109,0;100,8;96,7;95,4;91,5;;;
Transdanubia;large region;107,4;105,3;105,7;105,1;102,9;102,6;100,9;101,6;87,7;93,6;94,7;94,3;104,8;98,9;95,9;94,7;92,4;;;
Borsod-Abaúj-Zemplén;county;109,4;107,3;103,6;102,3;98,0;97,2;96,7;96,6;92,7;99,1;99,1;98,6;99,8;95,5;96,9;95,7;98,6;;;
Heves;county;110,0;112,3;109,5;106,3;95,1;96,0;98,8;99,0;96,9;94,8;94,9;95,0;98,1;96,9;95,3;95,6;102,0;;;
Nógrád;county;106,7;111,5;106,6;108,1;106,7;99,5;97,9;98,0;79,7;86,4;95,4;93,4;122,3;105,3;99,3;98,0;92,4;;;
Northern Hungary;region;109,1;109,1;105,4;104,1;98,6;97,3;97,4;97,4;91,5;96,1;97,5;96,9;102,5;97,2;96,9;96,0;98,4;;;
Hajdú-Bihar;county;102,7;106,5;106,9;105,4;104,0;99,1;100,2;102,1;88,9;96,5;94,9;92,9;101,5;99,4;98,8;96,3;96,8;;;
Jász-Nagykun-Szolnok;county;102,6;104,9;103,1;102,2;97,0;94,5;94,1;95,3;95,5;102,1;100,2;99,7;97,4;90,2;95,7;93,4;99,2;;;
Szabolcs-Szatmár-Bereg;county;101,8;105,8;108,0;106,7;103,3;98,2;97,1;98,1;94,8;99,1;98,3;96,3;97,5;96,0;94,8;96,1;104,7;;;
Northern Great Plain;region;102,3;105,8;106,4;105,2;102,1;97,7;97,5;98,9;92,8;98,8;97,5;95,8;98,9;95,9;96,4;95,5;100,6;;;
Bács-Kiskun;county;111,0;107,7;107,6;106,9;98,4;94,3;95,1;96,6;88,2;98,0;96,3;95,6;112,5;100,4;99,2;97,8;85,8;;;
Békés;county;109,6;110,8;109,0;104,1;102,3;99,3;102,1;103,4;76,4;86,9;86,1;87,0;115,7;106,0;100,5;97,5;92,8;;;
Csongrád-Csanád;county;95,5;97,2;99,1;99,0;112,8;111,1;109,4;107,9;93,7;95,5;93,8;93,0;101,0;96,4;95,4;95,3;86,4;;;
Southern Great Plain;region;105,6;105,1;105,2;103,7;103,6;100,6;101,2;101,7;86,8;94,3;92,9;92,6;109,3;100,4;98,2;96,9;87,7;;;
Great Plain and North;large region;105,4;106,6;105,8;104,4;101,4;98,4;98,5;99,3;90,6;96,7;96,1;95,2;103,0;97,6;97,1;96,1;96,0;;;
Country total;country;106,7;105,7;105,1;103,5;100,4;99,7;99,7;100,8;88,3;95,1;95,4;95,1;107,8;99,8;97,7;96,3;90,7;;;
