"","Year","Total"
"1",2013,977810
"2",2014,975964
"3",2015,976649
"4",2016,976033
"5",2017,976799
"6",2018,977953
"7",2019,980739
"8",2020,982159
"9",2021,983327
"10",2022,985625
"11",2023,992084
