"","year","births"
"1",2013,58019
"2",2014,57086
"3",2015,55349
"4",2016,52671
"5",2017,50176
"6",2018,47461
"7",2019,45452
"8",2020,46313
"9",2021,49427
"10",2022,44764
"11",2023,43179
